avg_running_balance_past30d,bank_risk,rb_at_deposit,completed_past30d_vs_current_amount_score,past30d_returned_ach,card_txn_count_past30d,returned_past30d_avg_ach_amount,stddev_running_balance_past30d,ach_c_avg_past30d,od_count_past30d,ach_c_count_past10by30d,amount,ach_c_median_past30d,card_txn_avg_past30d,past30d_avg_ach_amount,debit_txn_count_past10by30d,ach_c_std_past30d,card_txn_median_past10by30d,card_txn_median_past30d,ach_c_median_past10by30d,debit_by_credit_past_30d,rejected_past30d_avg_ach_amount,ein_ssn
1250.0,1,1250.0,0.9992006394884092,0,0,0.0,0.0,1250.0,0.0,,1250.0,1250.0,0.0,1250.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,1250.0,,,0.0,,,,,,0.0,0.0,0.0
901.152,1,906.44,1.8140589569161,0,1,0.0,11.824327465016946,230.36,0.0,1.0,800.0,250.0,3.75,440.0,1.0,298.4125073339476,1.0,15.0,1.0,0.333333,0.0,0.0
,2,,,0,0,0.0,,,,,150.0,,,0.0,,,,,,0.0,0.0,0.0
420.2547368421053,1,386.08,0.7984031936127745,0,2,0.0,47.37043585383644,166.66666666666666,0.0,,400.0,500.0,37.973333333333336,500.0,,,,56.96,,2.0,0.0,0.0
,2,,,0,0,0.0,,,,,1.0,,,1.0,,,,,,0.0,1.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,25.0,,,0.0,,,,,,0.0,0.0,1.0
70.0,1,70.0,7.042253521126761,0,0,0.0,0.0,23.33666666666667,0.0,,500.0,35.005,0.0,70.0,,49.49040361524646,,,,0.5,0.0,0.0
,1,,,0,0,0.0,,,,,250.0,,,0.0,,,,,,0.0,0.0,0.0
,2,1.0,1.0,0,0,0.0,,,,,2.0,,,1.0,,,,,,0.0,0.0,0.0
263.83444444444444,1,252.03,1.625646194362259,0,0,0.0,115.05176524055298,134.765,0.0,0.333333,500.0,306.57,0.0,403.285,0.666666,149.2674766987102,,,0.3432495025605898,1.0,500.0,0.0
50.0,1,50.0,5.882352941176471,0,0,0.0,0.0,50.0,0.0,1.0,300.0,50.0,0.0,50.0,0.0,,,,1.0,0.0,0.0,0.0
,3,,,0,0,0.0,,,,,50.0,,,0.0,,,,,,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,500.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
1672.892857142857,1,1342.05,,0,1,0.0,565.0217447353771,0.0,0.0,0.0,1250.0,,578.975,0.0,1.0,,1.0,1157.95,,1.0,0.0,0.0
,1,,,0,0,0.0,,,,,200.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,25.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,1000.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,0,,,0,0,0.0,,,,,50.0,,,0.0,,,,,,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,1250.0,,,0.0,,,,,,0.0,0.0,0.0
881.25,1,5100.0,0.9794319294809012,0,0,0.0,1484.6686739567758,962.5,0.0,1.0,1000.0,1250.0,0.0,1020.0,0.0,575.0,,,1.0,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,20.0,,,0.0,,,,,,0.0,0.0,1.0
,2,,,0,0,0.0,,,,,1.0,,,0.0,,,,,,0.0,0.0,0.0
,3,,,0,0,0.0,,,,,250.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,250.0,,,0.0,,,,,,0.0,0.0,0.0
318.03190476190474,1,127.71,2.1481942714819424,0,10,0.0,156.84921904871078,61.53846153846154,0.0,0.0,575.0,200.0,51.714615384615385,350.0,0.6,115.47005383792516,0.7377784653465346,32.32,,3.333333,600.0,0.0
,1,,,0,0,0.0,,,,,50.0,,,0.0,,,,,,0.0,0.0,0.0
2562.9330769230774,1,2192.9,0.999000999000999,0,4,0.0,264.7615928649936,375.0,0.0,0.0,1000.0,1000.0,62.89125,1000.0,0.8,0.0,1.2744378886939882,94.065,,1.666666,0.0,0.0
362.58,3,416.22,0.495049504950495,0,0,0.0,60.30359690764742,104.055,0.0,0.25,50.0,108.11,0.0,100.0,0.0,65.82126378813054,,,1.0750161872167237,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,250.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
524.080625,1,511.47,,0,2,0.0,12.016384075500566,0.0,0.0,0.0,500.0,,6.0075,0.0,1.0,,1.0,12.015,,1.0,0.0,0.0
,2,,,0,0,0.0,,,,,125.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,50.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,95.0,,,0.0,,,,,,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,38.8,,,0.0,,,,,,0.0,0.0,1.0
770.0,1,1250.0,1.4365522745411012,0,0,0.0,268.32815729997475,250.002,0.0,1.0,600.0,325.0,0.0,462.5,1.0,332.6002355556392,,,1.0,0.25,600.0,0.0
625.0,1,625.0,0.3993610223642173,0,0,0.0,0.0,625.0,0.0,1.0,250.0,625.0,0.0,625.0,0.0,,,,1.0,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,25.0,,,0.0,,,,,,0.0,0.0,0.0
373.75,2,250.0,0.819672131147541,0,0,0.0,15.82934559033259,80.138,0.0,0.75,300.0,17.725,0.0,365.0,1.0,177.30589487756276,,,0.0253878702397743,0.25,0.0,0.0
,1,,,0,0,0.0,,,,,200.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
3218.75,1,7750.0,1.128013407245069,0,0,0.0,2106.2725200152586,1083.3333333333333,0.0,1.0,1250.0,1250.0,0.0,1107.142857142857,0.0,408.248290463863,,,1.0,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,250.0,,,0.0,,,,,,0.0,0.0,0.0
5.0,1,5.0,5.0,0,0,0.0,0.0,5.0,0.0,1.0,30.0,5.0,0.0,5.0,0.0,,,,1.0,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,50.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,0.999000999000999,0,0,0.0,,,,,1000.0,,,1000.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,300.0,,,0.0,,,,,,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,20.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,50.0,,,0.0,,,,,,0.0,0.0,0.0
2.0,1,2.0,16.666666666666668,0,0,0.0,0.0,2.0,0.0,1.0,50.0,2.0,0.0,2.0,0.0,,,,1.0,0.0,0.0,0.0
,1,1250.0,0.9992006394884092,0,0,0.0,,,,,1250.0,,,1250.0,,,,,,0.0,0.0,0.0
,0,,,0,0,0.0,,,,,200.0,,,0.0,,,,,,0.0,0.0,0.0
14.705882352941176,1,0.0,,1,0,50.0,23.483410915693103,25.0,0.0,,2.0,50.0,0.0,50.0,,,,,,1.0,0.0,0.0
,1,,,0,0,0.0,,,,,1000.0,,,0.0,,,,,,0.0,0.0,0.0
45.288,1,56.61,0.263148758896025,0,0,0.0,25.31676164125262,18.87333333333333,0.0,1.0,15.16,28.31,0.0,56.61,1.0,40.02224381515859,,,1.0,0.5,0.0,1.0
50.0,1,50.0,9.803921568627452,0,0,0.0,0.0,50.0,0.0,,500.0,50.0,0.0,50.0,,,,,,0.0,0.0,0.0
113.06185185185186,1,179.88,1.020408163265306,0,7,0.0,60.84620777242326,14.804545454545456,0.0,0.25,50.0,18.635,5.000909090909091,48.0,0.111111,29.98177956794102,1.0,13.64,2.683123155352831,0.692307,0.0,0.0
,2,,,0,0,0.0,,,,,5.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,500.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
256.88545454545454,1,64.7,1.831683168316832,0,4,0.0,116.85697277985916,42.719,0.0,0.0,185.0,78.605,26.248,100.0,0.833333,116.23820524394438,1.0,70.78,,1.5,0.0,0.0
,1,,,0,0,0.0,,,,,250.0,,,0.0,,,,,,0.0,0.0,0.0
25.0,3,25.0,,0,0,0.0,0.0,0.0,0.0,0.0,10.25,,0.0,0.0,0.0,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,20.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,1250.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,400.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,200.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,2,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,150.0,,,0.0,,,,,,0.0,0.0,0.0
,1,,0.999000999000999,0,0,0.0,,,,,1000.0,,,1000.0,,,,,,0.0,0.0,0.0
,1,,,0,0,0.0,,,,,100.0,,,0.0,,,,,,0.0,0.0,1.0
,1,,,0,0,0.0,,,,,100.0,,,100.0,,,,,,0.0,100.0,0.0
